1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	r	r	b	b	r	b	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	r	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	b	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	b	r	r	r	r	r	r	b	b	b	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	b	b	r	b	r	b	b	b	r	b	b	b	r	r	r
r	b	r	b	r	r	r	r	r	b	r	r	b	b	r	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	r	r	r	r	b	r	r	r	r	b	r	r	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	r	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	r	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	b	b	b	b	r	r	b	r	b	r	r	b	b	r	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	r	r	b	r	b	b	b	r	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	r	r	r	r	r	r	b	b	r	r	r	r	b	r	r
b	r	r	b	r	r	r	r	r	r	r	r	b	r	r	r
b	b	b	b	b	b	b	b	b	r	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	r	b	b
r	b	r	r	r	b	r	b	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	b	r	b	b	r	r	r	r	r	r	r	b	r	r	b
b	b	b	b	b	b	r	r	b	b	b	b	b	b	b	b
b	b	b	b	b	r	b	b	b	b	b	b	b	b	r	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	b	b	r	r	b	b	b	b	r	r	b	b	b	r	b
b	b	b	b	b	b	b	b	b	b	r	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	b	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	r	b	b	b	b	r	b	b	r	r	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
r	r	r	r	r	r	r	r	r	r	b	b	r	r	r	b
r	r	r	r	r	r	r	r	r	r	r	r	r	r	r	r
r	r	r	b	r	r	r	r	r	r	r	r	r	r	r	r
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
b	b	b	b	b	b	b	b	b	b	b	b	b	b	b	b
